Name,URL,Description,Language,Stars,Archived
Sanster/IOPaint,https://github.com/Sanster/IOPaint,"Image inpainting tool powered by SOTA AI Model. Remove any unwanted object, defect, people from your pictures or erase and replace(powered by stable diffusion) any thing on your pictures.",Python,22018,True
alainm23/planify,https://github.com/alainm23/planify,Task manager with Todoist & Nextcloud support designed for GNOME,Vala,4283,False
huggingface/diffusers,https://github.com/huggingface/diffusers,"🤗 Diffusers: State-of-the-art diffusion models for image, video, and audio generation in PyTorch and FLAX.",Python,30328,False
greeeen-dev/natsumi-browser,https://github.com/greeeen-dev/natsumi-browser,Welcome to your personal internet.,CSS,430,False
MrOtherGuy/firefox-csshacks,https://github.com/MrOtherGuy/firefox-csshacks,Collection of userstyles affecting the browser,CSS,4117,False
IDEA-Research/X-Pose,https://github.com/IDEA-Research/X-Pose,"[ECCV 2024] Official implementation of the paper ""X-Pose: Detecting Any Keypoints""",Python,711,False
KwaiVGI/LivePortrait,https://github.com/KwaiVGI/LivePortrait,Bring portraits to life!,Python,16866,False
microsoft/autogen,https://github.com/microsoft/autogen,A programming framework for agentic AI 🤖 PyPi: autogen-agentchat Discord: https://aka.ms/autogen-discord Office Hour: https://aka.ms/autogen-officehour,Python,48799,False
OpenManus/OpenManus-RL,https://github.com/OpenManus/OpenManus-RL,A live stream development of RL tunning for LLM agents,Python,3342,False
boldsoftware/sketch,https://github.com/boldsoftware/sketch,autonomous software apprentice,Go,568,False
openai/gpt-2,https://github.com/openai/gpt-2,"Code for the paper ""Language Models are Unsupervised Multitask Learners""",Python,24073,False
run-llama/llama_index,https://github.com/run-llama/llama_index,LlamaIndex is the leading framework for building LLM-powered agents over your data.,Python,43751,False
renovatebot/renovate,https://github.com/renovatebot/renovate,Home of the Renovate CLI: Cross-platform Dependency Automation by Mend.io,TypeScript,19565,False
hotoo/pangu.vim,https://github.com/hotoo/pangu.vim,『盘古之白』中文排版自动规范化的 Vim 插件,Vim Script,348,False
Fosowl/agenticSeek,https://github.com/Fosowl/agenticSeek,"Fully Local Manus AI. No APIs, No $200 monthly bills. Enjoy an autonomous agent that thinks, browses the web, and code for the sole cost of electricity. 🔔 Official updates only via twitter @Martin993886460 (Beware of fake account)",Python,20852,False
camel-ai/owl,https://github.com/camel-ai/owl,🦉 OWL: Optimized Workforce Learning for General Multi-Agent Assistance in Real-World Task Automation,Python,17863,False
zen-kernel/zen-kernel,https://github.com/zen-kernel/zen-kernel,Zen Patched Kernel Sources,C,2264,False
trinodb/trino,https://github.com/trinodb/trino,"Official repository of Trino, the distributed SQL query engine for big data, formerly known as PrestoSQL (https://trino.io)",Java,11740,False
sphamba/smear-cursor.nvim,https://github.com/sphamba/smear-cursor.nvim,🌠 Neovim plugin to animate the cursor with a smear effect in all terminals,Lua,1236,False
ajayyy/SponsorBlock,https://github.com/ajayyy/SponsorBlock,Skip YouTube video sponsors (browser extension),TypeScript,11848,False
brookhong/Surfingkeys,https://github.com/brookhong/Surfingkeys,"Map your keys for web surfing, expand your browser with javascript and keyboard.",JavaScript,5796,False
HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,The property-based testing library for Python,Python,8020,False
Kenshin/simpread,https://github.com/Kenshin/simpread,简悦 ( SimpRead ) - 让你瞬间进入沉浸式阅读的扩展,JavaScript,8431,False
nlweb-ai/NLWeb,https://github.com/nlweb-ai/NLWeb,"The main repo for NLWeb, implemented in Python.",Python,5763,False
nanbingxyz/5ire,https://github.com/nanbingxyz/5ire,"5ire is a cross-platform desktop AI assistant, MCP client. It compatible with major service providers,  supports local knowledge base and  tools via model context protocol servers .",TypeScript,4364,False
ML-GSAI/LLaDA,https://github.com/ML-GSAI/LLaDA,"Official PyTorch implementation for ""Large Language Diffusion Models""",Python,2742,False
browserslist/caniuse-lite,https://github.com/browserslist/caniuse-lite,"A smaller version of caniuse-db, with only the essentials!",JavaScript,584,False
browserslist/update-db,https://github.com/browserslist/update-db,CLI tool to update caniuse-lite to refresh target browsers from Browserslist config,JavaScript,592,False
pot-app/pot-desktop,https://github.com/pot-app/pot-desktop,🌈一个跨平台的划词翻译和OCR软件 | A cross-platform software for text translation and recognition.,JavaScript,14869,False
punkpeye/awesome-mcp-clients,https://github.com/punkpeye/awesome-mcp-clients,A collection of MCP clients.,N/A,5388,False
3rd/image.nvim,https://github.com/3rd/image.nvim,🖼️ Bringing images to Neovim.,Lua,1630,False
modelcontextprotocol/typescript-sdk,https://github.com/modelcontextprotocol/typescript-sdk,The official TypeScript SDK for Model Context Protocol servers and clients,TypeScript,9257,False
zhayujie/chatgpt-on-wechat,https://github.com/zhayujie/chatgpt-on-wechat,基于大模型搭建的聊天机器人，同时支持 微信公众号、企业微信应用、飞书、钉钉 等接入，可选择ChatGPT/Claude/DeepSeek/文心一言/讯飞星火/通义千问/ Gemini/GLM-4/Kimi/LinkAI，能处理文本、语音和图片，访问操作系统和互联网，支持基于自有知识库进行定制企业智能客服。,Python,38546,False
langgptai/LangGPT,https://github.com/langgptai/LangGPT,"LangGPT: Empowering everyone to become a prompt expert!🚀  Structured Prompt，Language of GPT, 结构化提示词，结构化Prompt, Created by 「云中江树」",Jupyter Notebook,10431,False
m4xshen/hardtime.nvim,https://github.com/m4xshen/hardtime.nvim,"Break bad habits, master Vim motions",Lua,3313,False
vanguard478/ulauncher-zoxide,https://github.com/vanguard478/ulauncher-zoxide,Use Zoxide with Ulauncher,Python,4,False
karakeep-app/karakeep,https://github.com/karakeep-app/karakeep,"A self-hostable bookmark-everything app (links, notes and images) with AI-based automatic tagging and full text search",TypeScript,19232,False
rgwood/systemctl-tui,https://github.com/rgwood/systemctl-tui,"A fast, simple TUI for interacting with systemd services and their logs",Rust,1047,False
AmmarAbouZor/tui-journal,https://github.com/AmmarAbouZor/tui-journal,Your journal app if you live in a terminal,Rust,591,False
mfussenegger/nvim-lint,https://github.com/mfussenegger/nvim-lint,An asynchronous linter plugin for Neovim complementary to the built-in Language Server Protocol support.,Lua,2449,False
cshuaimin/ssr.nvim,https://github.com/cshuaimin/ssr.nvim,Treesitter based structural search and replace plugin for Neovim.,Lua,978,False
espressif/esp-adf,https://github.com/espressif/esp-adf,Espressif Advanced Development Framework for Multimedia Applications,C,2014,False
volcengine/rtc-aigc-embedded-demo,https://github.com/volcengine/rtc-aigc-embedded-demo,,C,301,False
volcengine/rtc-aigc-demo,https://github.com/volcengine/rtc-aigc-demo,RTC AIGC Demo,TypeScript,185,False
MagicDuck/grug-far.nvim,https://github.com/MagicDuck/grug-far.nvim,Find And Replace plugin for neovim,Lua,1510,False
luong-komorebi/Awesome-Linux-Software,https://github.com/luong-komorebi/Awesome-Linux-Software,🐧 A list of awesome Linux softwares ,HTML,23854,False
Crossbell-Box/xLog,https://github.com/Crossbell-Box/xLog,🪽 An open-source creative community written on the blockchain.,TypeScript,2636,False
SwanHubX/SwanLab,https://github.com/SwanHubX/SwanLab,"⚡️SwanLab - an open-source, modern-design AI training tracking and visualization tool. Supports Cloud / Self-hosted use. Integrated with PyTorch / Transformers / LLaMA Factory / veRL/ Swift / Ultralytics / MMEngine / Keras etc.",Python,2456,False
4evergr8/atoolbox,https://github.com/4evergr8/atoolbox,使用Flutter框架的便携安卓工具集合,Dart,107,False
LawnchairLauncher/lawnchair,https://github.com/LawnchairLauncher/lawnchair,No clever tagline needed.,Java,10818,False
hongquan/CoBang,https://github.com/hongquan/CoBang,A QR code scanner desktop app for Linux,Python,311,False
balena-io/etcher,https://github.com/balena-io/etcher,"Flash OS images to SD cards & USB drives, safely and easily.",TypeScript,31930,False
labring/laf,https://github.com/labring/laf,"Laf is a vibrant cloud development platform that provides essential tools like cloud functions, databases, and storage solutions. It enables developers to quickly unleash their creativity and bring innovative ideas to life with ease.",TypeScript,7572,False
FlagOpen/FlagEmbedding,https://github.com/FlagOpen/FlagEmbedding,Retrieval and Retrieval-augmented LLMs,Python,10355,False
CherryHQ/cherry-studio,https://github.com/CherryHQ/cherry-studio,🍒 Cherry Studio is a desktop client that supports for multiple LLM providers.,TypeScript,31687,False
MODSetter/SurfSense,https://github.com/MODSetter/SurfSense,"Open Source Alternative to NotebookLM / Perplexity, connected to external sources such as Search Engines, Slack, Linear, Jira, ClickUp, Confluence, Notion, YouTube, GitHub, Discord and more. Join our discord: https://discord.gg/ejRNvftDp9",TypeScript,6426,False
quarkusio/quarkus,https://github.com/quarkusio/quarkus,Quarkus: Supersonic Subatomic Java. ,Java,14836,False
htr-tech/zphisher,https://github.com/htr-tech/zphisher,An automated phishing tool with 30+ templates. This Tool is made for educational purpose only ! Author will not be responsible for any misuse of this toolkit !,HTML,13863,False
CapSoftware/Cap,https://github.com/CapSoftware/Cap,"Open source Loom alternative. Beautiful, shareable screen recordings.",TypeScript,11014,False
thanos-io/thanos,https://github.com/thanos-io/thanos,Highly available Prometheus setup with long term storage capabilities. A CNCF Incubating project.,Go,13672,False
nvimdev/dashboard-nvim,https://github.com/nvimdev/dashboard-nvim,vim dashboard,Lua,2663,False
goolord/alpha-nvim,https://github.com/goolord/alpha-nvim,a lua powered greeter like vim-startify / dashboard-nvim,Lua,2221,False
jeffkaufman/icdiff,https://github.com/jeffkaufman/icdiff,improved colored diff,Python,4243,False
kuafuai/DevOpsGPT,https://github.com/kuafuai/DevOpsGPT,Multi agent system for AI-driven software development. Combine LLM with DevOps tools to convert natural language requirements into working software. Supports any development language and extends the existing code.,HTML,5957,False
guillaume-be/rust-bert,https://github.com/guillaume-be/rust-bert,"Rust native ready-to-use NLP pipelines and transformer-based models (BERT, DistilBERT, GPT2,...)",Rust,2928,False
SilverofLight/kd_translate.nvim,https://github.com/SilverofLight/kd_translate.nvim,一个基于 kd 命令行软件的 nvim 翻译插件,Lua,6,False
rust-lang/rust-analyzer,https://github.com/rust-lang/rust-analyzer,A Rust compiler front-end for IDEs,Rust,15365,False
aquasecurity/trivy,https://github.com/aquasecurity/trivy,"Find vulnerabilities, misconfigurations, secrets, SBOM in containers, Kubernetes, code repositories, clouds and more",Go,27934,False
tracel-ai/burn,https://github.com/tracel-ai/burn,"Burn is a next generation Deep Learning Framework that doesn't compromise on flexibility, efficiency and portability.",Rust,12611,False
lapce/lapce,https://github.com/lapce/lapce,Lightning-fast and Powerful Code Editor written in Rust,Rust,37158,False
hakonharnes/img-clip.nvim,https://github.com/hakonharnes/img-clip.nvim,"Embed images into any markup language, like LaTeX, Markdown or Typst",Lua,769,False
nvimtools/none-ls.nvim,https://github.com/nvimtools/none-ls.nvim,"null-ls.nvim reloaded / Use Neovim as a language server to inject LSP diagnostics, code actions, and more via Lua.",Lua,3057,False
errata-ai/vale,https://github.com/errata-ai/vale,:pencil: A markup-aware linter for prose built with speed and extensibility in mind.,Go,4915,False
folke/trouble.nvim,https://github.com/folke/trouble.nvim,"🚦 A pretty diagnostics, references, telescope results, quickfix and location list to help you solve all the trouble your code is causing.",Lua,6375,False
tpope/vim-fugitive,https://github.com/tpope/vim-fugitive,"fugitive.vim: A Git wrapper so awesome, it should be illegal",Vim Script,21050,False
folke/ts-comments.nvim,https://github.com/folke/ts-comments.nvim,Tiny plugin to enhance Neovim's native comments,Lua,493,False
nvim-lualine/lualine.nvim,https://github.com/nvim-lualine/lualine.nvim,A blazing fast and easy to configure neovim statusline plugin written in pure lua.,Lua,7292,False
ibhagwan/fzf-lua,https://github.com/ibhagwan/fzf-lua,Improved fzf.vim written in lua,Lua,3630,False
lukas-reineke/indent-blankline.nvim,https://github.com/lukas-reineke/indent-blankline.nvim,Indent guides  for Neovim,Lua,4679,False
NMAC427/guess-indent.nvim,https://github.com/NMAC427/guess-indent.nvim,Automatic indentation style detection for Neovim,Lua,543,False
arnamak/stay-centered.nvim,https://github.com/arnamak/stay-centered.nvim,A neovim plugin to keep your cursor at the center of the screen.,Lua,89,False
nvim-treesitter/nvim-treesitter-context,https://github.com/nvim-treesitter/nvim-treesitter-context,Show code context,Janet,2923,False
L3MON4D3/LuaSnip,https://github.com/L3MON4D3/LuaSnip,Snippet Engine for Neovim written in Lua.,Lua,4031,False
j-hui/fidget.nvim,https://github.com/j-hui/fidget.nvim,💫  Extensible UI for Neovim notifications and LSP progress messages.,Lua,2313,False
zbirenbaum/copilot.lua,https://github.com/zbirenbaum/copilot.lua,Fully featured & enhanced replacement for copilot.vim complete with API for interacting with Github Copilot,Lua,3657,False
utilyre/barbecue.nvim,https://github.com/utilyre/barbecue.nvim,Visual Studio Code inspired breadcrumbs plugin for the Neovim editor,Lua,881,True
folke/todo-comments.nvim,https://github.com/folke/todo-comments.nvim,"✅  Highlight, list and search todo comments in your projects",Lua,3787,False
folke/flash.nvim,https://github.com/folke/flash.nvim,"Navigate your code with search labels, enhanced character motions and Treesitter integration",Lua,3432,False
Saghen/blink.cmp,https://github.com/Saghen/blink.cmp,"Performant, batteries-included completion plugin for Neovim ",Lua,5114,False
echasnovski/mini.pairs,https://github.com/echasnovski/mini.pairs,Neovim Lua plugin to automatically manage character pairs. Part of 'mini.nvim' library.,Lua,201,False
bullets-vim/bullets.vim,https://github.com/bullets-vim/bullets.vim,🔫 Bullets.vim is a Vim/NeoVim plugin for automated bullet lists.,Vim Script,553,False
mikavilpas/yazi.nvim,https://github.com/mikavilpas/yazi.nvim,A Neovim Plugin for the yazi terminal file manager,Lua,1211,False
CachyOS/linux-cachyos,https://github.com/CachyOS/linux-cachyos,Archlinux Kernel based on different schedulers and some other performance improvements.,Shell,1637,False
webstudio-is/webstudio,https://github.com/webstudio-is/webstudio,"Open source website builder and Webflow alternative. Webstudio is an advanced visual builder that connects to any headless CMS, supports all CSS properties, and can be hosted anywhere, including with us.",TypeScript,7516,False
apache/cassandra,https://github.com/apache/cassandra,Apache Cassandra®,Java,9323,False
qdrant/qdrant,https://github.com/qdrant/qdrant,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",Rust,25349,False
tadata-org/fastapi_mcp,https://github.com/tadata-org/fastapi_mcp,"Expose your FastAPI endpoints as Model Context Protocol (MCP) tools, with Auth!",Python,9004,False
ReadYouApp/ReadYou,https://github.com/ReadYouApp/ReadYou,An Android RSS reader presented in Material You style.,Kotlin,6299,False
jlevy/og-equity-compensation,https://github.com/jlevy/og-equity-compensation,"Stock options, RSUs, taxes — read the latest edition: www.holloway.com/ec",N/A,11390,False
fuma-nama/fumadocs,https://github.com/fuma-nama/fumadocs,The beautiful docs framework with Next.js and any React.js framework.,TypeScript,7644,False
huggingface/accelerate,https://github.com/huggingface/accelerate,"🚀 A simple way to launch, train, and use PyTorch models on almost any device and distributed configuration, automatic mixed precision (including fp8), and easy-to-configure FSDP and DeepSpeed support",Python,9047,False
Anxcye/anx-reader,https://github.com/Anxcye/anx-reader,"Featuring powerful AI capabilities and supporting various e-book formats, it makes reading smarter and more focused. ",Dart,5672,False
ashvardanian/less_slow.cpp,https://github.com/ashvardanian/less_slow.cpp,"Playing around ""Less Slow"" coding practices in C++ 20, C, CUDA, PTX, & Assembly, from numerics & SIMD to coroutines, ranges, exception handling, networking and user-space IO",C++,1835,False
linera-io/linera-protocol,https://github.com/linera-io/linera-protocol,Main repository for the Linera protocol,Rust,28186,False
crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.",Python,35827,False
vinceliuice/WhiteSur-gtk-theme,https://github.com/vinceliuice/WhiteSur-gtk-theme,MacOS like theme for all gtk based desktops,CSS,7795,False
folke/noice.nvim,https://github.com/folke/noice.nvim,"💥 Highly experimental plugin that completely replaces the UI for messages, cmdline and the popupmenu.",Lua,5255,False
docling-project/docling,https://github.com/docling-project/docling,Get your documents ready for gen AI,Python,36209,False
cypress-io/cypress,https://github.com/cypress-io/cypress,"Fast, easy and reliable testing for anything that runs in a browser.",TypeScript,48824,False
bensadeh/tailspin,https://github.com/bensadeh/tailspin,🌀 A log file highlighter,Rust,6548,False
openai/codex,https://github.com/openai/codex,Lightweight coding agent that runs in your terminal,Rust,35409,False
uqfoundation/pathos,https://github.com/uqfoundation/pathos,parallel graph management and execution in heterogeneous computing,Python,1457,False
xxnuo/serverless-qrcode-hub,https://github.com/xxnuo/serverless-qrcode-hub,苦于微信群聊二维码频繁变动，开发这个能生成永久二维码的工具，仅需后台统一更新新二维码。不需要服务器。也可作为 URL 缩短链接服务使用。,JavaScript,1655,False
Textualize/toolong,https://github.com/Textualize/toolong,"A terminal application to view, tail, merge, and search log files (plus JSONL).",Python,3535,False
laktak/extrakto,https://github.com/laktak/extrakto,"extrakto for tmux - quickly select, copy/insert/complete text without a mouse",Python,1003,False
Ulauncher/Ulauncher,https://github.com/Ulauncher/Ulauncher,Feature rich application Launcher for Linux,Python,4136,False
x-cmd/x-cmd,https://github.com/x-cmd/x-cmd,x-cmd: Bootstrap 1000+ command line tools in seconds.,N/A,2661,False
instantdb/instant,https://github.com/instantdb/instant,Instant is a modern Firebase. We make you productive by giving your frontend a real-time database.,Clojure,9144,False
pit-ray/win-vind,https://github.com/pit-ray/win-vind,You can operate Windows with key bindings like Vim.,C++,2166,False
kainctl/isd,https://github.com/kainctl/isd,isd (interactive systemd) – a better way to work with systemd units,Python,1829,False
ArchiveBox/ArchiveBox,https://github.com/ArchiveBox/ArchiveBox,"🗃 Open source self-hosted web archiving. Takes URLs/browser history/bookmarks/Pocket/Pinboard/etc., saves HTML, JS, PDFs, media, and more...",Python,24780,False
liam-hq/liam,https://github.com/liam-hq/liam,Automatically generates beautiful and easy-to-read ER diagrams from your database.,TypeScript,4237,False
tomasklaen/uosc,https://github.com/tomasklaen/uosc,Feature-rich minimalist proximity-based UI for MPV player.,Lua,2491,False
catppuccin/bat,https://github.com/catppuccin/bat,🦇️ Soothing pastel theme for Bat,TypeScript,413,False
2977094657/BiliHistoryFrontend,https://github.com/2977094657/BiliHistoryFrontend,获取b站历史记录，批量下载视频，一键下载用户投稿视频，收藏夹所有视频，生成详细的年度总结，自动化任务，下面链接是对应后端,Vue,381,False
2977094657/BilibiliHistoryFetcher,https://github.com/2977094657/BilibiliHistoryFetcher,获取b站历史记录，批量下载视频，一键下载用户投稿视频，收藏夹所有视频，生成详细的年度总结，自动化任务，下面链接是对应前端,Python,886,False
xutao-o/css-flex-code,https://github.com/xutao-o/css-flex-code,快速生成CSS Flex布局代码的VS Code插件（类似于Google开发者工具的Flex布局插件）Quickly generate CSS Flex layout code in VS Code (similar to Google Developer Tools' Flex layout plugin),TypeScript,155,False
TecharoHQ/anubis,https://github.com/TecharoHQ/anubis,Weighs the soul of incoming HTTP requests to stop AI crawlers,Go,11484,False
bastienwirtz/homer,https://github.com/bastienwirtz/homer,A very simple static homepage for your server.,Vue,10486,False
nkanaev/yarr,https://github.com/nkanaev/yarr,yet another rss reader,Go,3334,False
symfony/symfony,https://github.com/symfony/symfony,The Symfony PHP framework,PHP,30501,False
infiniflow/ragflow,https://github.com/infiniflow/ragflow,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.,TypeScript,62544,False
fleetdm/fleet,https://github.com/fleetdm/fleet,Open device management,Go,5409,False
SLAM-Handbook-contributors/slam-handbook-public-release,https://github.com/SLAM-Handbook-contributors/slam-handbook-public-release,Release repo for our SLAM Handbook,N/A,3398,False
elie222/inbox-zero,https://github.com/elie222/inbox-zero,The world's best AI personal assistant for email. Open source app to help you reach inbox zero fast.,TypeScript,8572,False
nuejs/nue,https://github.com/nuejs/nue,"Standards first web framework taking HTML, CSS, JS, and WASM to their peak",JavaScript,8789,False
koreader/koreader,https://github.com/koreader/koreader,"An ebook reader application supporting PDF, DjVu, EPUB, FB2 and many more formats, running on Cervantes, Kindle, Kobo, PocketBook and Android devices",Lua,22794,False
inkonchain/ink-kit,https://github.com/inkonchain/ink-kit,"Onchain-focused SDK with ready-to-use templates, themes, and magical animated components ✨",TypeScript,36794,False
nokyan/resources,https://github.com/nokyan/resources,Keep an eye on system resources,Rust,1045,False
jetify-com/devbox,https://github.com/jetify-com/devbox,"Instant, easy, and predictable development environments",Go,10223,False
google/perfetto,https://github.com/google/perfetto,"Production-grade client-side tracing, profiling, and analysis for complex software systems.",C++,4501,False
patchy631/ai-engineering-hub,https://github.com/patchy631/ai-engineering-hub,"In-depth tutorials on LLMs, RAGs and real-world AI agent applications.",Jupyter Notebook,17443,False
gorhill/uBlock,https://github.com/gorhill/uBlock,uBlock Origin - An efficient blocker for Chromium and Firefox. Fast and lean.,JavaScript,57746,False
louislam/dockge,https://github.com/louislam/dockge,"A fancy, easy-to-use and reactive self-hosted docker compose.yaml stack-oriented manager",TypeScript,19153,False
PatrickJS/awesome-cursorrules,https://github.com/PatrickJS/awesome-cursorrules,📄  Configuration files that enhance Cursor AI editor experience with custom rules and behaviors,MDX,32630,False
rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer.",Rust,95889,False
e2b-dev/E2B,https://github.com/e2b-dev/E2B,"Open-source, secure environment with real-world tools for enterprise-grade agents.",MDX,9309,False
supabase-community/postgres-language-server,https://github.com/supabase-community/postgres-language-server,A Language Server for Postgres,Rust,5041,False
dubinc/dub,https://github.com/dubinc/dub,"The modern link attribution platform. Loved by world-class marketing teams like Twilio, Buffer, Framer, Perplexity, Vercel, and more.",TypeScript,22101,False
SYSTRAN/faster-whisper,https://github.com/SYSTRAN/faster-whisper,Faster Whisper transcription with CTranslate2,Python,17633,False
FunAudioLLM/SenseVoice,https://github.com/FunAudioLLM/SenseVoice,Multilingual Voice Understanding Model,Python,6424,False
NanmiCoder/MediaCrawler,https://github.com/NanmiCoder/MediaCrawler,小红书笔记 | 评论爬虫、抖音视频 | 评论爬虫、快手视频 | 评论爬虫、B 站视频 ｜ 评论爬虫、微博帖子 ｜ 评论爬虫、百度贴吧帖子 ｜ 百度贴吧评论回复爬虫  | 知乎问答文章｜评论爬虫,Python,35905,False
ocornut/imgui,https://github.com/ocornut/imgui,Dear ImGui: Bloat-free Graphical User interface for C++ with minimal dependencies,C++,67618,False
microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,"21 Lessons, Get Started Building with Generative AI  🔗 https://microsoft.github.io/generative-ai-for-beginners/",Jupyter Notebook,95121,False
e2b-dev/awesome-ai-agents,https://github.com/e2b-dev/awesome-ai-agents,A list of AI autonomous agents,N/A,21283,False
krillinai/KlicStudio,https://github.com/krillinai/KlicStudio," A video translation and dubbing tool powered by LLMs, offering 99 language translations and one-click full-process deployment. It can generate content optimized for platforms like YouTube，TikTok, and Shorts.  AI视频翻译配音工具，99种语言双向翻译，一键部署全流程，可以生成适配抖音，小红书，哔哩哔哩，视频号，TikTok，Youtube Shorts等形态的内容",Go,8296,False
gaogaotiantian/viztracer,https://github.com/gaogaotiantian/viztracer,A debugging and profiling tool that can trace and visualize python code execution,Python,6941,False
PostHog/posthog,https://github.com/PostHog/posthog,"🦔 PostHog provides open-source web & product analytics, session recording, feature flagging and A/B testing that you can self-host. Get started - free.",Python,28444,False
BuilderIO/gpt-crawler,https://github.com/BuilderIO/gpt-crawler,Crawl a site to generate knowledge files to create your own custom GPT from a URL,TypeScript,21818,False
Helicone/helicone,https://github.com/Helicone/helicone,"🧊 Open source LLM observability platform. One line of code to monitor, evaluate, and experiment. YC W23 🍓",TypeScript,4345,False
Nutlope/picMenu,https://github.com/Nutlope/picMenu,Visualize menus in seconds with AI,TypeScript,421,False
ahmedkhaleel2004/gitdiagram,https://github.com/ahmedkhaleel2004/gitdiagram,"Free, simple, fast interactive diagrams for any GitHub repository",TypeScript,14086,False
punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,A collection of MCP servers.,N/A,66416,False
mui/material-ui,https://github.com/mui/material-ui,Material UI: Comprehensive React component library that implements Google's Material Design. Free forever.,TypeScript,96389,False
jlowin/fastmcp,https://github.com/jlowin/fastmcp,"🚀 The fast, Pythonic way to build MCP servers and clients",Python,16383,False
geekan/HowToLiveLonger,https://github.com/geekan/HowToLiveLonger,程序员延寿指南 | A programmer's guide to live longer,N/A,34191,False
FoundationAgents/MetaGPT,https://github.com/FoundationAgents/MetaGPT,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming",Python,57924,False
javaparser/javaparser,https://github.com/javaparser/javaparser,Java 1-21 Parser and Abstract Syntax Tree for Java with advanced analysis functionalities.,Java,5918,False
NirDiamant/GenAI_Agents,https://github.com/NirDiamant/GenAI_Agents,"This repository provides tutorials and implementations for various Generative AI Agent techniques, from basic to advanced. It serves as a comprehensive guide for building intelligent, interactive AI systems.",Jupyter Notebook,15848,False
Anduin2017/HowToCook,https://github.com/Anduin2017/HowToCook,程序员在家做饭方法指南。Programmer's guide about how to cook at home (Simplified Chinese only).,Dockerfile,92506,False
boyter/scc,https://github.com/boyter/scc,"Sloc, Cloc and Code: scc is a very fast accurate code counter with complexity calculations and COCOMO estimates written in pure Go",Go,7570,False
signalapp/Signal-Android,https://github.com/signalapp/Signal-Android,A private messenger for Android.,Kotlin,27454,False
Akkudoktor-EOS/EOS,https://github.com/Akkudoktor-EOS/EOS,"This repository features an Energy Optimization System (EOS) that optimizes energy distribution, usage for batteries, heat pumps& household devices. It includes predictive models for electricity prices (planned), load forecasting& dynamic optimization to maximize energy efficiency & minimize costs. Founder Dr. Andreas Schmitz (YouTube @akkudoktor)",Python,1379,False
joanrod/star-vector,https://github.com/joanrod/star-vector,"StarVector is a foundation model for SVG generation that transforms vectorization into a code generation task. Using a vision-language modeling architecture, StarVector processes both visual and textual inputs to produce high-quality SVG code with remarkable precision.",Python,3985,False
gzc/CLRS,https://github.com/gzc/CLRS,:notebook:Solutions to Introduction to Algorithms,C++,9563,False
Cryakl/Ultimate-RAT-Collection,https://github.com/Cryakl/Ultimate-RAT-Collection,"For educational purposes only, exhaustive samples of 500+ classic/modern trojan builders including screenshots.",N/A,2915,False
bregman-arie/devops-exercises,https://github.com/bregman-arie/devops-exercises,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions",Python,77976,False
ourongxing/newsnow,https://github.com/ourongxing/newsnow,Elegant reading of real-time and hottest news,TypeScript,12612,False
agno-agi/agno,https://github.com/agno-agi/agno,"Full-stack framework for building Multi-Agent Systems with memory, knowledge and reasoning.",Python,31889,False
home-assistant/core,https://github.com/home-assistant/core,:house_with_garden: Open source home automation that puts local control and privacy first.,Python,80793,False
AkariAsai/OpenScholar,https://github.com/AkariAsai/OpenScholar,This repository includes the official implementation of OpenScholar: Synthesizing Scientific Literature with Retrieval-augmented LMs. ,Python,708,False
catppuccin/userstyles,https://github.com/catppuccin/userstyles,🖌 Soothing pastel userstyles,Less,852,False
Bogdanp/awesome-advent-of-code,https://github.com/Bogdanp/awesome-advent-of-code,A collection of awesome resources related to the yearly Advent of Code challenge.,Markdown,3147,False
tranzystorekk/arrive,https://github.com/tranzystorekk/arrive,Simple CLI tool for interacting with Advent of Code,Rust,4,False
ahrm/sioyek-python-extensions,https://github.com/ahrm/sioyek-python-extensions,Python wrapper and simple addons for sioyek PDF viewer,Python,211,False
WerWolv/ImHex,https://github.com/WerWolv/ImHex,"🔍 A Hex Editor for Reverse Engineers, Programmers and people who value their retinas when working at 3 AM.",C++,50116,False
ahrm/sioyek,https://github.com/ahrm/sioyek,Sioyek is a PDF viewer with a focus on textbooks and research papers,C,8088,False
WJQSERVER-STUDIO/ghproxy,https://github.com/WJQSERVER-STUDIO/ghproxy,"基于Go的高性能,多功能,可扩展的Github代理加速项目",Go,581,False
